postUrl,description,commentCount,likeCount,pubDate,isSidecar,type,caption,profileUrl,username,taggedFullName1,taggedUsername1,imgUrl,postId,timestamp,query,videoUrl,viewCount,taggedFullName2,taggedUsername2,taggedFullName3,taggedUsername3,taggedFullName4,taggedUsername4,taggedFullName5,taggedUsername5,taggedFullName6,taggedUsername6,taggedFullName7,taggedUsername7,taggedFullName8,taggedUsername8,taggedFullName9,taggedUsername9,taggedFullName10,taggedUsername10,taggedFullName11,taggedUsername11,taggedFullName12,taggedUsername12,taggedFullName13,taggedUsername13,taggedFullName14,taggedUsername14,taggedFullName15,taggedUsername15,likedByViewer,videoDuration,playCount,fullName,location,locationId
https://www.instagram.com/p/CyY-HnwuqNy/,"Breathable, lightweight design 🤝 game-changing moves.

Tap to shop the LeBron XXI Freshwater now.",1128,454227,2023-10-14T18:59:45.000Z,true,Photo,"Photo shared by Nike on October 14, 2023 tagging @nikebasketball. May be an image of 1 person, playing basketball, basketball jersey, backboard, sneakers, sportswear, ball, sports equipment, basketball court and text that says 'LF'.",https://www.instagram.com/nike,nike,Nike Basketball,nikebasketball,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/391440280_311201484869561_2568092849852522861_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=CqSWzwQtky0AX_MvJb3&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAQrfx8X70SnmPkuyY4zqwghFrrjndQhM_xhsOVqgaAIg&oe=6531BF00&_nc_sid=8b3546,3213591528135642918,2023-10-16T02:24:00.757Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyY-HnwuqNy/,"Breathable, lightweight design 🤝 game-changing moves.

Tap to shop the LeBron XXI Freshwater now.",1128,454227,2023-10-14T18:59:45.000Z,true,Photo,"Photo shared by Nike on October 14, 2023 tagging @nikebasketball. May be an image of 1 person, playing basketball, basketball jersey, backboard, sneakers, sportswear, ball, sports equipment, basketball court and text that says 'LF'.",https://www.instagram.com/nike,nike,Nike Basketball,nikebasketball,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/391115438_783425083473280_2470587635729724413_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=f3rJ0UlRCAIAX_IpE21&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBqRGFw-kEEPHYG0qGLV7a5zJ3gXSzUJqWlKNekLyM5Hg&oe=653196CD&_nc_sid=8b3546,3213591528118874676,2023-10-16T02:24:00.757Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyY-HnwuqNy/,"Breathable, lightweight design 🤝 game-changing moves.

Tap to shop the LeBron XXI Freshwater now.",1128,454227,2023-10-14T18:59:45.000Z,true,Photo,"Photo shared by Nike on October 14, 2023 tagging @nikebasketball. May be an image of 1 person, playing basketball, basketball jersey, backboard, sneakers, sportswear, ball, sports equipment, basketball court and text that says 'LF'.",https://www.instagram.com/nike,nike,Nike Basketball,nikebasketball,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/390993322_1726400637771686_7187916710747194936_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=c8a4MD8l3x8AX-Mc2Yk&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAHTcNK03a5IQMwdJSNrPmSfsnIeLsdi7VxrEigMQ9EMg&oe=653190BD&_nc_sid=8b3546,3213591528194181794,2023-10-16T02:24:00.758Z,https://www.instagram.com/nike/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyYhSayunqQ/,"“One of the biggest inspirations in skateboarding for me is Leticia because if it weren’t for her, I probably wouldn’t be here now.” — @rayssalealsk8 

When athletes find their dream team—they find the confidence to keep moving.

Tag someone who inspires you. #YouGotThis",637,56959,2023-10-14T15:14:59.000Z,false,Video,,https://www.instagram.com/nike,nike,Rayssa Leal,rayssalealsk8,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/391416826_1456744981555195_4988513138688788143_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=7dE1_9k8n6UAX9fJjnS&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD0vYT4QRMx-R-uZPkIkrQavyE4KlubXxWXJu8Rq3gQIw&oe=652E0168&_nc_sid=8b3546,3213464735382665872,2023-10-16T02:24:00.758Z,https://www.instagram.com/nike/,https://scontent-cdg4-1.cdninstagram.com/v/t66.30100-16/10000000_701843841450814_8210127616058188995_n.mp4?_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=110&_nc_ohc=zwY9atYKadAAX8XErsC&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfAFSnOgedzDBuA72CsaALrF3DHOnBbXzu638bIqqICTfQ&oe=652DFA46&_nc_sid=8b3546,1484645,Leticia Bufoni,leticiabufoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyWLolYuOwd/,"Stay inside or stay grounded? Don’t let the weather decide 🧘‍♀️🌧️🏃‍♀️

Gear up for running through the elements. Tap to Shop.",535,34211,2023-10-13T17:02:56.000Z,false,Video,,https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/390979482_730795028878202_430521166500756276_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=1VXQnuHXclsAX_nkJ6E&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCFCSkGhyQtAL8YSSytqMBnSEYu-UdLaot74Bpxh1DUdQ&oe=652E6D94&_nc_sid=8b3546,3212806551609338909,2023-10-16T02:24:00.758Z,https://www.instagram.com/nike/,https://scontent-cdg4-1.cdninstagram.com/v/t66.30100-16/119578705_1982811768762596_4526382162002304224_n.mp4?_nc_ht=scontent-cdg4-1.cdninstagram.com&_nc_cat=108&_nc_ohc=XZ0K3B3IVOIAX-VanwS&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCYW4XU85kdZwBmXf_9TUR-akx494Gd57ppxFZJ4MT-Kg&oe=652E8FF0&_nc_sid=8b3546,887266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyTaR3mL-L2/,"“You have the potential to do anything you put your mind to.” 
- @JordanChiles 
 
Jordan’s mindset and strong support system helped her overcome many obstacles and social pressures.

Tag your friends who give you strength in those moments👇

#YouGotThis",647,38411,2023-10-12T15:12:20.000Z,false,Video,,https://www.instagram.com/nike,nike,FLYANABOSS,flyanaboss,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387714836_874976650884071_4892912880498964695_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=H3s4JjZSM5kAX9GAL2p&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBVBW6LOEKrqWbrMSWKIqzF0csor0ZETRfNgq1pm-JYCw&oe=652E754F&_nc_sid=8b3546,3212026536382161654,2023-10-16T02:24:00.758Z,https://www.instagram.com/nike/,https://scontent-cdg4-3.cdninstagram.com/v/t66.30100-16/10000000_285034644482704_7470982884964541318_n.mp4?_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=104&_nc_ohc=2BgMsf87LScAX_-T1FS&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDluSP_V-7qCWl5F8PZxvEH8UEwt8B_LrKb0op0_DtYqA&oe=652E62B9&_nc_sid=8b3546,1144449,Brooklinn Khoury,brookhoury,Jordan Chiles,jordanchiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyQ03cYrB6Z/,"When that voice creeps in and says, “You can’t do this,” we say, “You got this.”

A little belief can lead to some major shifts in a girl’s perspective on...well, everything. Hear what this dream team of athletes, creators, and girls from all over the world has to say about how sport helps them overcome obstacles.

Check out the link in bio and show us #YouGotThis",692,59725,2023-10-11T15:08:45.000Z,false,Video,,https://www.instagram.com/nike,nike,Nike Women,nikewomen,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387268864_714707403842084_8394514357185032142_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=Yi4UzJgXEMIAX90nQZr&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfD25SKaGbP-tqrbv1qBlsXld9j-LT_ByMD_7dQHRJtN8A&oe=652E645D&_nc_sid=8b3546,3211299042783665817,2023-10-16T02:24:00.758Z,https://www.instagram.com/nike/,https://scontent-cdg4-3.cdninstagram.com/v/t66.30100-16/10000000_624497726423171_5179414627060587706_n.mp4?_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=111&_nc_ohc=OhUTauFRROMAX-RuADR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBU7qKyM35fxSMXUzbDvxzcG8L04tuXt3NeYrL1wey_Ng&oe=652E8121&_nc_sid=8b3546,1675807,Rayssa Leal,rayssalealsk8,Leticia Bufoni,leticiabufoni,Beatrice Maria Vio Grandis,bebe_vio,Ludovica Olgiati,ludovicaolgiati,Lia Lewis Gribius,lia.lewis,FLYANABOSS,flyanaboss,Brooklinn Khoury,brookhoury,Jordan Chiles,jordanchiles,momo,monicamamudo,estefaniaelisa,estefaniaelisaa,Lotte Wubben-Moy,lottewubbenmoy,Isabelle Kyson,isabelle_kyson,Jilou,bgirljilou,Bgirl Melina,bgirl_melina,,,,,,
https://www.instagram.com/p/CyM_N9jLdZe/,"Meet the Nike Alphafly 3. The fastest marathon shoe in the world. ⚡️

Tested and proven by the fastest runners in the world.

Coming for your personal best January 2024.",1221,199769,2023-10-10T03:18:28.000Z,true,Photo,"Photo shared by Nike on October 09, 2023 tagging @nikerunning. May be an image of sneakers and text.",https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-3.cdninstagram.com/v/t51.2885-15/387693340_286295334249055_8735560915405424165_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-3.cdninstagram.com&_nc_cat=1&_nc_ohc=BaljA-MxW-sAX9mWCoN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDMqAHJKbrt3l9aemC5KpYnDZX_YLIPV4Q7CiFIcj2pvg&oe=6530BFB3&_nc_sid=8b3546,3210218665990302544,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,Eliud Kipchoge - EGH🇰🇪,kipchogeeliud,Sifan Hassan,sifanhassan,Kelvin Kiptum Cheruiyot 🇰🇪,kelvinkiptumcheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyM_N9jLdZe/,"Meet the Nike Alphafly 3. The fastest marathon shoe in the world. ⚡️

Tested and proven by the fastest runners in the world.

Coming for your personal best January 2024.",1221,199769,2023-10-10T03:18:28.000Z,true,Photo,"Photo shared by Nike on October 09, 2023 tagging @nikerunning. May be an image of sneakers and text.",https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/387719283_138389572664023_8685058536220753939_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=BuO4NVoA2QEAX-Fn1cR&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfDdgTfnm4vhihh-Ir0aw5RqOd4PM3X5VoQ2rNPmOL9-QA&oe=6531AB1F&_nc_sid=8b3546,3210218665990373199,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,Eliud Kipchoge - EGH🇰🇪,kipchogeeliud,Sifan Hassan,sifanhassan,Kelvin Kiptum Cheruiyot 🇰🇪,kelvinkiptumcheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.instagram.com/p/CyM_N9jLdZe/,"Meet the Nike Alphafly 3. The fastest marathon shoe in the world. ⚡️

Tested and proven by the fastest runners in the world.

Coming for your personal best January 2024.",1221,199769,2023-10-10T03:18:28.000Z,true,Photo,"Photo shared by Nike on October 09, 2023 tagging @nikerunning. May be an image of sneakers and text.",https://www.instagram.com/nike,nike,Nike Running,nikerunning,https://scontent-cdg4-2.cdninstagram.com/v/t51.2885-15/387685163_23918325897814027_5408393063077686536_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-cdg4-2.cdninstagram.com&_nc_cat=107&_nc_ohc=xcb7_h-dtIYAX9iO48W&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfCmkv4tPEv0_pfXfqZWWV4-G1mXOSkNq_-rQEo3nSxrkQ&oe=65327BF6&_nc_sid=8b3546,3210218666132878680,2023-10-16T02:24:00.759Z,https://www.instagram.com/nike/,,,Eliud Kipchoge - EGH🇰🇪,kipchogeeliud,Sifan Hassan,sifanhassan,Kelvin Kiptum Cheruiyot 🇰🇪,kelvinkiptumcheruiyot,,,,,,,,,,,,,,,,,,,,,,,,,,,,
